TMDb ID,IMDb ID,Name on IMDb,Birth Name,Spouse Name,Spouse IMDb
3,nm0000184,George Lucas,George Walton Lucas Jr.,Mellody Hobson,/name/nm3473170?ref_=nmbio_sp_1
4,nm0000148,Harrison Ford, Not Found ,Calista Flockhart,/name/nm0001222?ref_=nmbio_sp_1
5,nm0000402,Carrie Fisher,Carrie Frances Fisher,Paul Simon,/name/nm0800328?ref_=nmbio_sp_1
6,nm0001088,Peter Cushing,Peter Wilton Cushing,Violet Helene Beck,Not Found
7,nm0000355,Anthony Daniels, Not Found ,Christine Savage,Not Found
8,nm0004056,Andrew Stanton,Andrew Christopher Stanton Jr.,Julie Stanton,/name/nm0822768?ref_=nmbio_sp_1
9,nm0881279,Lee Unkrich,Lee Edward Unkrich,Laura Century,Not Found
10,nm0910237,Graham Walters, Not Found , Not Found ,Not Found
11,nm0677037,Bob Peterson,Robert Peterson,Bob Peterson,Not Found
13,nm0721675,David Reynolds, Not Found , Not Found ,Not Found
18,nm0000983,Albert Brooks,Albert Lawrence Einstein,Kimberly Shlain,Not Found
19,nm0004951,Brad Garrett,Brad H. Gerstenfeld,Jill Diven,Not Found
20,nm0005049,Allison Janney,Allison Brooks Janney,Allison Janney,Not Found
22,nm0001610,Elizabeth Perkins,Elizabeth Ann Perkins,Julio Macat,/name/nm0531310?ref_=nmbio_sp_1
24,nm0402032,Barry Humphries,John Barry Humphries,Lizzie Spender,/name/nm0818177?ref_=nmbio_sp_1
26,nm0000709,Robert Zemeckis,Robert Lee Zemeckis,Leslie Zemeckis,/name/nm0366667?ref_=nmbio_sp_1
27,nm0343165,Winston Groom, Not Found ,Anne Clinton,Not Found
28,nm0744839,Eric Roth, Not Found ,Debra Greenfield,/name/nm0338991?ref_=nmbio_sp_1
29,nm0277704,Wendy Finerman, Not Found ,Mark Canton,/name/nm0004799?ref_=nmbio_sp_1
30,nm0005494,Steve Tisch,Steven Elliot Tisch,Jamie Alexander Tisch,Not Found
32,nm0823330,Steve Starkey, Not Found , Not Found ,Not Found
33,nm0000705,Robin Wright,Robin Virginia Gayle Wright,Clement Giraudet,Not Found
34,nm0000641,Gary Sinise,Gary Alan Sinise,Moira Sinise,/name/nm0365128?ref_=nmbio_sp_1
35,nm0932112,Mykelti Williamson,Michael T. Williamson,Sondra Spriggs,/name/nm0819661?ref_=nmbio_sp_1
36,nm0000398,Sally Field,Sally Margaret Field,Alan Greisman,/name/nm0340112?ref_=nmbio_sp_1
37,nm0121281,Don Burgess,Don Michael Burgess,Bonnie Ann Burgess,/name/nm0121262?ref_=nmbio_sp_1
38,nm0006293,Alan Silvestri,Alan Anthony Silvestri,Sandra Silvestri,/name/nm0799161?ref_=nmbio_sp_1
39,nm0772831,Arthur Schmidt,Arthur Robert Schmidt,Arthur Schmidt,/name/nm0799161?ref_=nmbio_sp_1
40,nm0005222,Sam Mendes,Samuel Alexander Mendes,Alison Balsom,/name/nm3621441?ref_=nmbio_sp_1
48,nm0000080,Orson Welles,George Orson Welles,Paola Mori,/name/nm0605288?ref_=nmbio_sp_1
49,nm0000293,Sean Bean,Shaun Mark Bean,Ashley Moore,Not Found
52,nm0004742,Maria Bello,Maria Elaina Bello,Maria Bello,Not Found
53,nm0001556,David Morse,David Bowditch Morse,Susan Wheeler Duff,/name/nm0240414?ref_=nmbio_sp_1
54,nm0001780,Peter Stormare,Peter Rolf Ingvar Storm,Toshimi Murakami,Not Found
59,nm0747687,Maurice Roëves, Not Found ,Vanessa Rawlings-Jackson,Not Found
60,nm0000108,Luc Besson, Not Found ,Virginie Besson-Silla,/name/nm0798065?ref_=nmbio_sp_1
61,nm0496628,Patrice Ledoux, Not Found , Not Found ,Not Found
62,nm0436543,Robert Mark Kamen, Not Found , Not Found ,Not Found
63,nm0000246,Bruce Willis,Walter Bruce Willis,Emma Heming,/name/nm1081406?ref_=nmbio_sp_1
64,nm0000170,Milla Jovovich,Militza Jovovich,Paul W.S. Anderson,/name/nm0027271?ref_=nmbio_sp_1
65,nm0000198,Gary Oldman,Gary Leonard Oldman,Gisele Schmidt,/name/nm9573751?ref_=nmbio_sp_1
67,nm0000453,Ian Holm,Ian Holm Cuthbert,Sophie de Stempel,Not Found
68,nm0690143,Erich Pommer, Not Found ,Gertrude Levy,Not Found
69,nm0000485,Fritz Lang,Friedrich Christian Anton Lang,Lily Latte,/name/nm0490411?ref_=nmbio_sp_1
70,nm0403288,Gottfried Huppertz, Not Found , Not Found ,Not Found
73,nm0005844,Günther Rittau, Not Found ,Gerda Danker,/name/nm1817115?ref_=nmbio_sp_1
75,nm0002154,Alfred Abel,Alfred Peter Abel,Elizabeth Seidel,Not Found
77,nm0375609,Brigitte Helm,Brigitte Eva Gisela Schittenhelm,Hugo Eduard Kunheim,Not Found
78,nm0459030,Rudolf Klein-Rogge,Friedrich Rudolf Klein-Rogge,Mary Johnson,/name/nm0425770?ref_=nmbio_sp_1
80,nm0003248,Fritz Rasp,Fritz Heinrich Rasp,Eva Hollaender,Not Found
81,nm0519765,Theodor Loos,August Konrad Loos,Theodor Loos,Not Found
82,nm0084430,Erwin Biswanger, Not Found , Not Found ,Not Found
83,nm0313447,Heinrich George,Georg August Friedrich Hermann Schulz,Berta Drews,/name/nm0237750?ref_=nmbio_sp_1
85,nm0832605,Olaf Storm, Not Found , Not Found ,Not Found
99,nm0716938,Hanns Leo Reich, Not Found , Not Found ,Not Found
102,nm0001625,Amanda Plummer,Amanda Michael Plummer,Amanda Plummer,Not Found
108,nm0001323,Debbie Harry,Angela Tremble,Debbie Harry,Not Found
109,nm0749263,Mark Ruffalo,Mark Alan Ruffalo,Sunrise Coigney,/name/nm0169998?ref_=nmbio_sp_1
110,nm0001392,Peter Jackson, Not Found ,Fran Walsh,/name/nm0909638?ref_=nmbio_sp_1
112,nm0001557,Viggo Mortensen,Viggo Peter Mortensen Jr.,Exene Cervenka,/name/nm0148923?ref_=nmbio_sp_1
114,nm0000489,Christopher Lee,Christopher Frank Carandini Lee,Gitte Lee,/name/nm0473185?ref_=nmbio_sp_1
117,nm0461136,Keira Knightley,Keira Christina Knightley,James Righton,/name/nm5009401?ref_=nmbio_sp_1
120,nm0001691,Geoffrey Rush,Geoffrey Roy Rush,Jane Menelaus,/name/nm0579448?ref_=nmbio_sp_1
123,nm0003011,Dariusz Wolski,Dariusz Adam Wolski,Dariusz Wolski,/name/nm0579448?ref_=nmbio_sp_1
126,nm0651614,Barrie M. Osborne,Barrie Mitchell Osborne,Carol Kim,/name/nm0453380?ref_=nmbio_sp_1
128,nm0909638,Fran Walsh, Not Found ,Peter Jackson,/name/nm0001392?ref_=nmbio_sp_1
129,nm0101991,Philippa Boyens, Not Found , Not Found ,Not Found
130,nm0866058,J.R.R. Tolkien,John Ronald Reuel Tolkien,Edith Bratt,/name/nm1513425?ref_=nmbio_sp_1
135,nm0048652,Kenny Baker,Kenneth George Baker,Eileen Baker,/name/nm0048424?ref_=nmbio_sp_1
136,nm0169256,Bobby Cohen, Not Found , Not Found ,Not Found
138,nm0580303,Sam Mercer, Not Found , Not Found ,Not Found
139,nm0000233,Quentin Tarantino,Quentin Jerome Tarantino,Daniella Pick,/name/nm1825010?ref_=nmbio_sp_1
140,nm0000235,Uma Thurman,Uma Karuna Thurman,Ethan Hawke,/name/nm0000160?ref_=nmbio_sp_1
141,nm0005154,Lucy Liu,Lucy Alexis Liu,Lucy Liu,/name/nm0000160?ref_=nmbio_sp_1
142,nm0001016,David Carradine,John Arthur Carradine,Annie Carradine,/name/nm2378905?ref_=nmbio_sp_1
147,nm0115310,William Broyles Jr.,William Dodson Broyles Jr.,Linda Purl,/name/nm0700909?ref_=nmbio_sp_1
149,nm0000514,Michael Madsen,Michael Soren Madsen,DeAnna Madsen,/name/nm1208183?ref_=nmbio_sp_1
150,nm0724744,Robert Richardson,Robert Bridge Richardson,Stephanie Martin,/name/nm1427640?ref_=nmbio_sp_1
151,nm0753526,RZA,Robert Fitzgerald Diggs,Talani Rabb,/name/nm1167133?ref_=nmbio_sp_1
153,nm0005683,Roger Deakins, Not Found ,James Ellis Deakins,/name/nm0254885?ref_=nmbio_sp_1
154,nm0002353,Thomas Newman,Thomas Montgomery Newman,Ann Marie Zirbes,Not Found
156,nm0004555,Walter Murch,Walter Scott Murch,Aggie Murch,/name/nm0613694?ref_=nmbio_sp_1
157,nm0579673,Sally Menke,Sally JoAnne Menke,Dean Parisot,/name/nm0661751?ref_=nmbio_sp_1
179,nm0902376,Thea von Harbou,Thea Gabriele von Harbou,Fritz Lang,/name/nm0000485?ref_=nmbio_sp_1
185,nm0959128,Marcel Zyskind, Not Found , Not Found ,Not Found
190,nm0960028,Katsuhiro Ôtomo, Not Found , Not Found ,Not Found
192,nm0000142,Clint Eastwood,Clinton Eastwood Jr.,Dina Eastwood,/name/nm0247753?ref_=nmbio_sp_1
193,nm0000151,Morgan Freeman, Not Found ,Myrna Colley-Lee,Not Found
194,nm0000432,Gene Hackman,Eugene Allen Hackman,Betsy Arakawa,Not Found
195,nm0001321,Richard Harris,Richard St. John Harris,Ann Turkel,/name/nm0877183?ref_=nmbio_sp_1
197,nm0006215,Lennie Niehaus,Leonard Niehaus,Lennie Niehaus,/name/nm0877183?ref_=nmbio_sp_1
198,nm0798899,David Silverman, Not Found , Not Found ,Not Found
200,nm0144657,Dan Castellaneta,Daniel Louis Castellaneta,Deb Lacusta,/name/nm0480354?ref_=nmbio_sp_1
204,nm0004813,Nancy Cartwright,Nancy Jean Cartwright,Warren Murphy,/name/nm0614775?ref_=nmbio_sp_1
205,nm0000701,Kate Winslet,Kate Elizabeth Winslet,Ned Rocknroll,Not Found
206,nm0000379,Kirsten Dunst,Kirsten Caroline Dunst,Kirsten Dunst,Not Found
207,nm0000120,Jim Carrey,James Eugene Carrey,Lauren Holly,/name/nm0000452?ref_=nmbio_sp_1
212,nm0929489,Tom Wilkinson,Thomas Geoffrey Wilkinson,Diana Hardcastle,/name/nm0362051?ref_=nmbio_sp_1
223,nm0189144,David Cross, Not Found ,Amber Tamblyn,/name/nm0848554?ref_=nmbio_sp_1
224,nm0327944,Alejandro G. Iñárritu, Not Found ,Maria Eladia Gonzalez,/name/nm2215580?ref_=nmbio_sp_1
227,nm0000343,David Cronenberg,David Paul Cronenberg,Carolyn Cronenberg,/name/nm0954320?ref_=nmbio_sp_1
228,nm0000458,William Hurt,William M. Hurt,Heidi Henderson,Not Found
230,nm0000438,Ed Harris,Edward Allen Harris,Amy Madigan,/name/nm0001496?ref_=nmbio_sp_1
231,nm0570385,Stephen McHattie,Stephen McHattie Smith,Meg Foster,/name/nm0001236?ref_=nmbio_sp_1
240,nm0117374,Greg Bryk, Not Found ,Danielle Nicholas,Not Found
241,nm0000040,Stanley Kubrick, Not Found ,Christiane Kubrick,/name/nm0473583?ref_=nmbio_sp_1
243,nm0002009,Arthur C. Clarke,Arthur Charles Clarke,Marilyn Torgenson,Not Found
244,nm0005910,Geoffrey Unsworth,Geoffrey Gilyard Unsworth,Maggie Unsworth,/name/nm0794159?ref_=nmbio_sp_1
245,nm0522487,Ray Lovejoy, Not Found , Not Found ,Not Found
246,nm0001158,Keir Dullea,Keir Atwood Dullea,Mia Dillon,/name/nm0227040?ref_=nmbio_sp_1
247,nm0516972,Gary Lockwood,John Gary Yurosek,Denise DuBarry,/name/nm0239180?ref_=nmbio_sp_1
248,nm0843213,William Sylvester,William R. Silvester,Veronica Hurst,/name/nm0403667?ref_=nmbio_sp_1
249,nm0725220,Daniel Richter, Not Found , Not Found ,Not Found
250,nm0744436,Leonard Rossiter, Not Found ,Gillian Raine,/name/nm0706974?ref_=nmbio_sp_1
251,nm0879239,Margaret Tyzack,Margaret Maud Tyzack,Alan R. Stephenson,Not Found
252,nm0064235,Robert Beatty, Not Found ,Dorothy Steele,Not Found
253,nm0838330,Sean Sullivan, Not Found , Not Found ,Not Found
254,nm0706937,Douglas Rain,Douglas James Rain,Martha Henry,/name/nm0377927?ref_=nmbio_sp_1
255,nm0083378,H.L. Bird,Herbert Leslie Bird,H.L. Bird,/name/nm0377927?ref_=nmbio_sp_1
257,nm0753160,Winston Ryder,Frank Winston Ryder,Winston Ryder,/name/nm0377927?ref_=nmbio_sp_1
258,nm0528540,Victor Lyndon, Not Found , Not Found ,Not Found
263,nm0305558,Gael García Bernal, Not Found , Not Found ,Not Found
270,nm0248408,Emilio Echevarría, Not Found , Not Found ,Not Found
275,nm0056770,Adriana Barraza, Not Found ,Arnaldo Pipke,/name/nm2543225?ref_=nmbio_sp_1
280,nm0006509,Rodrigo Prieto,Rodrigo Prieto Stambaugh,Mónica Chiapa,Not Found
281,nm0000416,Terry Gilliam,Terence Vance Gilliam,Maggie Weston,/name/nm1461907?ref_=nmbio_sp_1
282,nm0672466,Janet Peoples,Janet Beebe,David Webb Peoples,/name/nm0672459?ref_=nmbio_sp_1
283,nm0746273,Charles Roven, Not Found ,Dawn Steel,/name/nm0824406?ref_=nmbio_sp_1
284,nm0146868,Robert Cavallo, Not Found , Not Found ,Not Found
285,nm0506013,Gary Levinsohn, Not Found , Not Found ,Not Found
286,nm0466946,Robert Kosberg, Not Found , Not Found ,Not Found
287,nm0680595,Lloyd Phillips,Lloyd B. Phillips,Beau St. Clair,/name/nm0820429?ref_=nmbio_sp_1
288,nm0000093,Brad Pitt,William Bradley Pitt,Angelina Jolie,/name/nm0001401?ref_=nmbio_sp_1
289,nm0781218,Jon Seda,Jonathan Seda,Lisa Gomez,Not Found
290,nm0000656,Madeleine Stowe,Madeleine Marie Stowe Mora,Brian Benben,/name/nm0000903?ref_=nmbio_sp_1
291,nm0001626,Christopher Plummer,Arthur Christopher Orme Plummer,Elaine Taylor,/name/nm0852327?ref_=nmbio_sp_1
292,nm0331319,Frank Gorshin, Not Found ,Chris Gorshin,/name/nm7461971?ref_=nmbio_sp_1
293,nm0835120,Frederick Strother, Not Found , Not Found ,Not Found
294,nm0695536,Roger Pratt,Roger James Edward Pratt,Roger Pratt,Not Found
295,nm0041644,Mick Audsley, Not Found ,Joke van Wijk,/name/nm0888290?ref_=nmbio_sp_1
296,nm0689474,Imogen Pollard, Not Found , Not Found ,Not Found
297,nm1060023,Robin Clarke,Christopher Clarke,Robin Clarke,Not Found
298,nm0575104,Jay Meagher, Not Found , Not Found ,Not Found
307,nm0070454,Chris Bender, Not Found , Not Found ,Not Found
310,nm0005893,Peter Suschitzky, Not Found , Not Found ,Not Found
323,nm0761697,Ronald Sanders, Not Found , Not Found ,Not Found
326,nm0000436,Curtis Hanson,Curtis Lee Hanson,Curtis Hanson,Not Found
328,nm0000107,Kim Basinger,Kimila Ann Basinger,Alec Baldwin,/name/nm0000285?ref_=nmbio_sp_1
