Name on IMDb,Birth Name 
George Lucas,George Walton Lucas Jr.
Harrison Ford, Not Found
Carrie Fisher,Carrie Frances Fisher
Peter Cushing,Peter Wilton Cushing
Anthony Daniels, Not Found
Andrew Stanton,Andrew Christopher Stanton Jr.
Lee Unkrich,Lee Edward Unkrich
Graham Walters, Not Found
Bob Peterson,Robert Peterson
David Reynolds, Not Found
Albert Brooks,Albert Lawrence Einstein
Brad Garrett,Brad H. Gerstenfeld
Allison Janney,Allison Brooks Janney
Elizabeth Perkins,Elizabeth Ann Perkins
Barry Humphries,John Barry Humphries
Robert Zemeckis,Robert Lee Zemeckis
Winston Groom, Not Found
Eric Roth, Not Found
Wendy Finerman, Not Found
Steve Tisch,Steven Elliot Tisch
Steve Starkey, Not Found
Robin Wright,Robin Virginia Gayle Wright
Gary Sinise,Gary Alan Sinise
Mykelti Williamson,Michael T. Williamson
Sally Field,Sally Margaret Field
Don Burgess,Don Michael Burgess
Alan Silvestri,Alan Anthony Silvestri
Arthur Schmidt,Arthur Robert Schmidt
Sam Mendes,Samuel Alexander Mendes
Orson Welles,George Orson Welles
Sean Bean,Shaun Mark Bean
Maria Bello,Maria Elaina Bello
David Morse,David Bowditch Morse
Peter Stormare,Peter Rolf Ingvar Storm
Maurice Roëves, Not Found
Luc Besson, Not Found
Patrice Ledoux, Not Found
Robert Mark Kamen, Not Found
Bruce Willis,Walter Bruce Willis
Milla Jovovich,Militza Jovovich
Gary Oldman,Gary Leonard Oldman
Ian Holm,Ian Holm Cuthbert
Erich Pommer, Not Found
Fritz Lang,Friedrich Christian Anton Lang
Gottfried Huppertz, Not Found
Günther Rittau, Not Found
Alfred Abel,Alfred Peter Abel
Brigitte Helm,Brigitte Eva Gisela Schittenhelm
Rudolf Klein-Rogge,Friedrich Rudolf Klein-Rogge
Fritz Rasp,Fritz Heinrich Rasp
Theodor Loos,August Konrad Loos
Erwin Biswanger, Not Found
Heinrich George,Georg August Friedrich Hermann Schulz
Olaf Storm, Not Found
Hanns Leo Reich, Not Found
Amanda Plummer,Amanda Michael Plummer
Debbie Harry,Angela Tremble
Mark Ruffalo,Mark Alan Ruffalo
Peter Jackson, Not Found
Viggo Mortensen,Viggo Peter Mortensen Jr.
Christopher Lee,Christopher Frank Carandini Lee
Keira Knightley,Keira Christina Knightley
Geoffrey Rush,Geoffrey Roy Rush
Dariusz Wolski,Dariusz Adam Wolski
Barrie M. Osborne,Barrie Mitchell Osborne
Fran Walsh, Not Found
Philippa Boyens, Not Found
J.R.R. Tolkien,John Ronald Reuel Tolkien
Kenny Baker,Kenneth George Baker
Bobby Cohen, Not Found
Sam Mercer, Not Found
Quentin Tarantino,Quentin Jerome Tarantino
Uma Thurman,Uma Karuna Thurman
Lucy Liu,Lucy Alexis Liu
David Carradine,John Arthur Carradine
William Broyles Jr.,William Dodson Broyles Jr.
Michael Madsen,Michael Soren Madsen
Robert Richardson,Robert Bridge Richardson
RZA,Robert Fitzgerald Diggs
Roger Deakins, Not Found
Thomas Newman,Thomas Montgomery Newman
Walter Murch,Walter Scott Murch
Sally Menke,Sally JoAnne Menke
Thea von Harbou,Thea Gabriele von Harbou
Marcel Zyskind, Not Found
Katsuhiro Ôtomo, Not Found
Clint Eastwood,Clinton Eastwood Jr.
Morgan Freeman, Not Found
Gene Hackman,Eugene Allen Hackman
Richard Harris,Richard St. John Harris
Lennie Niehaus,Leonard Niehaus
David Silverman, Not Found
Dan Castellaneta,Daniel Louis Castellaneta
Nancy Cartwright,Nancy Jean Cartwright
Kate Winslet,Kate Elizabeth Winslet
Kirsten Dunst,Kirsten Caroline Dunst
Jim Carrey,James Eugene Carrey
Tom Wilkinson,Thomas Geoffrey Wilkinson
David Cross, Not Found
Alejandro G. Iñárritu, Not Found
David Cronenberg,David Paul Cronenberg
William Hurt,William M. Hurt
Ed Harris,Edward Allen Harris
Stephen McHattie,Stephen McHattie Smith
Greg Bryk, Not Found
Stanley Kubrick, Not Found
Arthur C. Clarke,Arthur Charles Clarke
Geoffrey Unsworth,Geoffrey Gilyard Unsworth
Ray Lovejoy, Not Found
Keir Dullea,Keir Atwood Dullea
Gary Lockwood,John Gary Yurosek
William Sylvester,William R. Silvester
Daniel Richter, Not Found
Leonard Rossiter, Not Found
Margaret Tyzack,Margaret Maud Tyzack
Robert Beatty, Not Found
Sean Sullivan, Not Found
Douglas Rain,Douglas James Rain
H.L. Bird,Herbert Leslie Bird
Winston Ryder,Frank Winston Ryder
Victor Lyndon, Not Found
Gael García Bernal, Not Found
Emilio Echevarría, Not Found
Adriana Barraza, Not Found
Rodrigo Prieto,Rodrigo Prieto Stambaugh
Terry Gilliam,Terence Vance Gilliam
Janet Peoples,Janet Beebe
Charles Roven, Not Found
Robert Cavallo, Not Found
Gary Levinsohn, Not Found
Robert Kosberg, Not Found
Lloyd Phillips,Lloyd B. Phillips
Brad Pitt,William Bradley Pitt
Jon Seda,Jonathan Seda
Madeleine Stowe,Madeleine Marie Stowe Mora
Christopher Plummer,Arthur Christopher Orme Plummer
Frank Gorshin, Not Found
Frederick Strother, Not Found
Roger Pratt,Roger James Edward Pratt
Mick Audsley, Not Found
Imogen Pollard, Not Found
Robin Clarke,Christopher Clarke
Jay Meagher, Not Found
Chris Bender, Not Found
Peter Suschitzky, Not Found
Ronald Sanders, Not Found
Curtis Hanson,Curtis Lee Hanson
Kim Basinger,Kimila Ann Basinger
Brittany Murphy,Brittany Anne Bertolotti
Evan Jones, Not Found
Michael Shannon,Michael Corbett Shannon
Brian Grazer,Brian Thomas Grazer
Tom Rooker, Not Found
William Goldman, Not Found
Scott Glenn,Theodore Scott Glenn
Laura Linney,Laura Leggett Linney
Jack N. Green,John Newton Green
Henry Bumstead,Lloyd Henry Bumstead
Jack G. Taylor Jr., Not Found
Charles McKeown, Not Found
Bub Asman, Not Found
Arnon Milchan, Not Found
Jonathan Pryce,John Price
Donald Harris, Not Found
Robert De Niro,Robert Anthony De Niro Jr.
Michael Palin,Michael Edward Palin
Joel Cox,Joel Edward Cox
Peter Vaughan,Peter Ewart Ohm
